10000, quicksort, 1.73, micro-seconds, 1
10, quicksort, 1.724, micro-seconds, 1
100, quicksort, 1.704, micro-seconds, 1
1000, quicksort, 1.714, micro-seconds, 1
10000, quicksort, 1.738, micro-seconds, 1
10, quicksort, 1.732, micro-seconds, 1
100, quicksort, 1.715, micro-seconds, 1
1000, quicksort, 1.837, micro-seconds, 1
10000, quicksort, 1.712, micro-seconds, 1
10, quicksort, 1.724, micro-seconds, 1
100, quicksort, 1.72, micro-seconds, 1
1000, quicksort, 1.74, micro-seconds, 1
10000, quicksort, 1.716, micro-seconds, 1
10, quicksort, 1.718, micro-seconds, 1
100, quicksort, 1.732, micro-seconds, 1
1000, quicksort, 1.716, micro-seconds, 1
10000, quicksort, 1.735, micro-seconds, 1
10, quicksort, 1.724, micro-seconds, 1
100, quicksort, 1.716, micro-seconds, 1
1000, quicksort, 1.962, micro-seconds, 1
10000, quicksort, 1.746, micro-seconds, 1
10, quicksort, 1.738, micro-seconds, 1
100, quicksort, 1.742, micro-seconds, 1
1000, quicksort, 1.726, micro-seconds, 1
10000, quicksort, 1.74, micro-seconds, 1
10, quicksort, 1.714, micro-seconds, 1
100, quicksort, 1.747, micro-seconds, 1
1000, quicksort, 1.74, micro-seconds, 1
10000, quicksort, 1.718, micro-seconds, 1
10, quicksort, 1.731, micro-seconds, 1
100, quicksort, 1.74, micro-seconds, 1
1000, quicksort, 1.736, micro-seconds, 1
10000, quicksort, 1.726, micro-seconds, 1
10, quicksort, 1.736, micro-seconds, 1
100, quicksort, 1.722, micro-seconds, 1
1000, quicksort, 1.718, micro-seconds, 1
10000, quicksort, 1.944, micro-seconds, 1
10, quicksort, 1.847, micro-seconds, 1
100, quicksort, 1.712, micro-seconds, 1
1000, quicksort, 1.735, micro-seconds, 1
10000, quicksort, 1.832, micro-seconds, 1
10, quicksort, 1.736, micro-seconds, 1
100, quicksort, 1.754, micro-seconds, 1
1000, quicksort, 1.717, micro-seconds, 1
10000, quicksort, 1.719, micro-seconds, 1
10, quicksort, 1.716, micro-seconds, 1
100, quicksort, 1.712, micro-seconds, 1
1000, quicksort, 1.712, micro-seconds, 1
10000, quicksort, 1.714, micro-seconds, 1
10, quicksort, 1.736, micro-seconds, 1
100, quicksort, 1.712, micro-seconds, 1
1000, quicksort, 1.738, micro-seconds, 1
10000, quicksort, 1.739, micro-seconds, 1
10, quicksort, 1.738, micro-seconds, 1
100, quicksort, 1.739, micro-seconds, 1
1000, quicksort, 1.742, micro-seconds, 1
10000, quicksort, 1.74, micro-seconds, 1
10, quicksort, 1.72, micro-seconds, 1
100, quicksort, 1.713, micro-seconds, 1
1000, quicksort, 1.714, micro-seconds, 1
10000, quicksort, 1.722, micro-seconds, 1
10, quicksort, 1.717, micro-seconds, 1
100, quicksort, 1.714, micro-seconds, 1
1000, quicksort, 1.718, micro-seconds, 1
10000, quicksort, 1.716, micro-seconds, 1
10, quicksort, 1.728, micro-seconds, 1
100, quicksort, 1.734, micro-seconds, 1
1000, quicksort, 1.716, micro-seconds, 1
10000, quicksort, 1.731, micro-seconds, 1
10, quicksort, 1.714, micro-seconds, 1
100, quicksort, 1.741, micro-seconds, 1
1000, quicksort, 1.95, micro-seconds, 1
10000, quicksort, 1.718, micro-seconds, 1
10, quicksort, 1.714, micro-seconds, 1
100, quicksort, 1.722, micro-seconds, 1
1000, quicksort, 1.716, micro-seconds, 1
10000, quicksort, 1.716, micro-seconds, 1
10, quicksort, 1.732, micro-seconds, 1
100, quicksort, 1.831, micro-seconds, 1
1000, quicksort, 1.734, micro-seconds, 1
10000, quicksort, 1.736, micro-seconds, 1
10, quicksort, 1.729, micro-seconds, 1
100, quicksort, 1.774, micro-seconds, 1
1000, quicksort, 1.738, micro-seconds, 1
10000, quicksort, 1.724, micro-seconds, 1
10, quicksort, 1.718, micro-seconds, 1
100, quicksort, 1.728, micro-seconds, 1
1000, quicksort, 1.718, micro-seconds, 1
10000, quicksort, 1.718, micro-seconds, 1
