given min = 8 and max = 1.7e+308
predicted solutions are
predicted_i, predicted_A, predicted_B, predicted_gcd,predicted_modcalls
1.24467e+075,7.69246e+074,1.24467e+075,1,359
2.01391e+075,1.24467e+075,2.01391e+075,1,360
3.25858e+075,2.01391e+075,3.25858e+075,1,361
5.27249e+075,3.25858e+075,5.27249e+075,1,362
8.53107e+075,5.27249e+075,8.53107e+075,1,363
1.38036e+076,8.53107e+075,1.38036e+076,1,364
2.23346e+076,1.38036e+076,2.23346e+076,1,365
3.61382e+076,2.23346e+076,3.61382e+076,1,366
5.84728e+076,3.61382e+076,5.84728e+076,1,367
9.46111e+076,5.84728e+076,9.46111e+076,1,368
1.53084e+077,9.46111e+076,1.53084e+077,1,369
2.47695e+077,1.53084e+077,2.47695e+077,1,370
4.00779e+077,2.47695e+077,4.00779e+077,1,371
6.48474e+077,4.00779e+077,6.48474e+077,1,372
1.04925e+078,6.48474e+077,1.04925e+078,1,373
1.69773e+078,1.04925e+078,1.69773e+078,1,374
2.74698e+078,1.69773e+078,2.74698e+078,1,375
4.44471e+078,2.74698e+078,4.44471e+078,1,376
7.19168e+078,4.44471e+078,7.19168e+078,1,377
1.16364e+079,7.19168e+078,1.16364e+079,1,378
1.88281e+079,1.16364e+079,1.88281e+079,1,379
3.04645e+079,1.88281e+079,3.04645e+079,1,380
4.92925e+079,3.04645e+079,4.92925e+079,1,381
7.9757e+079,4.92925e+079,7.9757e+079,1,382
1.2905e+080,7.9757e+079,1.2905e+080,1,383
2.08807e+080,1.2905e+080,2.08807e+080,1,384
3.37856e+080,2.08807e+080,3.37856e+080,1,385
5.46663e+080,3.37856e+080,5.46663e+080,1,386
8.84519e+080,5.46663e+080,8.84519e+080,1,387
1.43118e+081,8.84519e+080,1.43118e+081,1,388
2.3157e+081,1.43118e+081,2.3157e+081,1,389
3.74688e+081,2.3157e+081,3.74688e+081,1,390
6.06258e+081,3.74688e+081,6.06258e+081,1,391
9.80946e+081,6.06258e+081,9.80946e+081,1,392
1.5872e+082,9.80946e+081,1.5872e+082,1,393
2.56815e+082,1.5872e+082,2.56815e+082,1,394
4.15536e+082,2.56815e+082,4.15536e+082,1,395
6.72351e+082,4.15536e+082,6.72351e+082,1,396
1.08789e+083,6.72351e+082,1.08789e+083,1,397
1.76024e+083,1.08789e+083,1.76024e+083,1,398
2.84812e+083,1.76024e+083,2.84812e+083,1,399
4.60836e+083,2.84812e+083,4.60836e+083,1,400
7.45648e+083,4.60836e+083,7.45648e+083,1,401
1.20648e+084,7.45648e+083,1.20648e+084,1,402
1.95213e+084,1.20648e+084,1.95213e+084,1,403
